Booking Time,User ID,Pick-up Time,Drop-off Time,Seat Count,Vehicle ID
2017-01-01T00:00:26.256Z,429b4fbb-ac33-42dc-84df-a4e37a75f0f7,2017-01-01T00:06:25.152Z,2017-01-01T00:07:59.112Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:00:26.328Z,5a3df981-2dfe-487f-a573-8103fe610e78,2017-01-01T00:07:46.560Z,2017-01-01T00:16:31.056Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:00:52.992Z,71309a6f-1f2f-4ec4-a321-aefe1d866831,2017-01-01T00:09:29.280Z,2017-01-01T00:23:52.320Z,2,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:00:26.064Z,32139c82-a502-43ab-b190-92177a16637c,2017-01-01T00:07:59.496Z,2017-01-01T00:27:20.304Z,2,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:00:53.088Z,469aea3d-6471-4d5b-9944-743b7c22001c,2017-01-01T00:06:24.504Z,2017-01-01T00:30:57.312Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:00:26.136Z,cb63ca03-1218-40fc-beb5-982505d32303,2017-01-01T00:11:20.208Z,2017-01-01T00:38:07.248Z,3,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:00:52.944Z,f999c12a-8760-4934-ad9a-9f3b814294e0,2017-01-01T00:04:34.008Z,2017-01-01T00:41:43.728Z,5,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:00:26.400Z,d08810c0-d4f7-480a-aee4-7a7c969b10ab,2017-01-01T00:13:38.904Z,2017-01-01T00:46:00.888Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:12:20.760Z,5b1e11d1-b70f-4320-9517-f5c37d2a3fc1,2017-01-01T00:32:43.872Z,2017-01-01T00:46:46.392Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:18:05.976Z,bb92082a-c1ac-4d53-8417-444689f05e9d,2017-01-01T00:19:30.816Z,2017-01-01T00:49:50.520Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:12:20.856Z,85662f78-89ad-4fb7-8cea-0517cac9259e,2017-01-01T00:16:31.512Z,2017-01-01T00:49:50.520Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:06:12.024Z,df0b20e0-23b1-4b7a-85cd-81816e6fe429,2017-01-01T00:15:20.832Z,2017-01-01T00:49:50.544Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:30:23.880Z,e260dee6-39f1-42e2-9298-be2cb93dde25,2017-01-01T00:49:51.648Z,2017-01-01T00:53:21.816Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:06:11.928Z,64f47b0a-a05d-4c9f-a11e-cfb1a7c629cb,2017-01-01T00:20:27.888Z,2017-01-01T00:53:21.816Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:09:28.392Z,8125cdc4-eacf-4230-864e-17cf3c8a731c,2017-01-01T00:33:44.952Z,2017-01-01T00:53:21.864Z,3,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:39:50.832Z,2dd8dfeb-60a1-4ae2-ada9-11bf3887aa3b,2017-01-01T00:41:44.472Z,2017-01-01T00:54:55.992Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:24:15.144Z,b2f42384-a256-4d48-bf13-41464f4470c6,2017-01-01T00:44:31.416Z,2017-01-01T00:54:55.992Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:30:24.000Z,52a3c9a6-671e-4929-bbbe-5caf423bc2ff,2017-01-01T00:49:51.648Z,2017-01-01T00:56:38.304Z,2,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:06:11.880Z,71dc77eb-06eb-426d-a5d3-75e2e8111ff5,2017-01-01T00:06:24.480Z,2017-01-01T00:56:38.304Z,2,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:39:50.712Z,34ed0cf1-1391-420e-80fc-f9c753f347c9,2017-01-01T00:43:05.928Z,2017-01-01T00:58:48.456Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:24:15.216Z,8ee69fde-b272-4b63-b053-c137b789314b,2017-01-01T00:38:07.872Z,2017-01-01T00:58:48.456Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:48:02.976Z,17120ee7-edad-4e0d-b456-253a7d04b353,2017-01-01T00:53:22.992Z,2017-01-01T01:03:51.336Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:24:15.000Z,2360c7a3-796a-45d7-8ec2-70a4e2150a58,2017-01-01T00:57:35.520Z,2017-01-01T01:03:51.336Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:18:05.880Z,2a1fe678-1d8c-449d-ba34-98e026059990,2017-01-01T00:31:30.144Z,2017-01-01T01:07:27.120Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:24:15.072Z,39b50cd1-8536-4940-b23f-c17ac7c7c28c,2017-01-01T00:58:48.744Z,2017-01-01T01:07:27.144Z,2,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:15:38.520Z,61a237cf-cfb4-4e74-9d7e-7df888732ae8,2017-01-01T00:44:31.440Z,2017-01-01T01:11:07.152Z,2,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:18:06.048Z,e0f36899-cf6d-492d-8af7-4da7f6fa3758,2017-01-01T00:46:03.120Z,2017-01-01T01:20:54.480Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:33:16.656Z,e5e16169-6a30-4347-8e7f-441b46a90fa7,2017-01-01T00:55:04.272Z,2017-01-01T01:23:09.096Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:30:23.904Z,74f4ebce-a921-47db-9776-6ee4a368efd0,2017-01-01T01:23:09.768Z,2017-01-01T01:26:42.696Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:36:08.928Z,c4a78a3a-b2fa-4eac-8647-122bf1131aa0,2017-01-01T01:00:05.928Z,2017-01-01T01:26:42.720Z,4,4bf166af-9eeb-432a-bad5-4b93b827ac56
