Vehicle ID,TimeStamp,Site ID,Location Latitude,Location Longitude,Orientation,Speed,Battery Level,Battery State
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:01:55.440Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3588600125400113E7,4494841.134496126,4.665699615014784,5.55,0.9961613136178328,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:02:19.440Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3588764893244337E7,4494869.835839163,4.470473288648754,5.55,0.9953632499209165,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:02:27.600Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3588818826403176E7,4494887.396248165,4.382087395466921,5.55,0.995091908263965,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:04:11.520Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3589302523097368E7,4495388.281778261,3.4314080705320436,5.55,0.9916362924563176,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:04:19.464Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3589311317664877E7,4495443.118598865,3.28445273541368,5.55,0.9913729314363352,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:04:27.408Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3589320138421683E7,4495498.1184190465,3.2844527354608593,5.55,0.9911087723526559,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:04:43.488Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.358936196367121E7,4495602.791666885,3.529286900068807,5.55,0.9905732716120251,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:04:51.384Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3589387013477826E7,4495652.120494469,3.596352086609259,5.55,0.9903107086557397,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:05:07.440Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3589454914436255E7,4495741.269234203,3.812280320418498,5.55,0.9897768040425027,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:05:23.304Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3589539153426306E7,4495813.448704431,3.9965446490115264,5.55,0.989249283938841,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:05:31.464Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3589586501745189E7,4495845.286529545,4.1055269391583,5.55,0.9889779422818895,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:05:47.280Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3589672166097434E7,4495908.821629533,4.010312391459788,5.55,0.9884520183056217,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:06:03.336Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3589672022108885E7,4495915.271608529,3.1023148484476732,0.0,0.9881894553493362,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:07:23.328Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3589662105573498E7,4496431.8370424975,3.1315193019585523,5.55,0.9855295090475144,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:07:55.248Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3589768271192437E7,4496549.054866031,4.330701688431186,5.55,0.9844680843306157,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:08:03.168Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3589788081969617E7,4496596.985657211,3.5181563436809933,5.55,0.9842055213743303,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:08:19.224Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3589711359247027E7,4496649.651213799,2.153515247214836,5.55,0.9836708186973964,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:08:27.120Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3589663497694673E7,4496627.03628516,1.1141563243108696,5.55,0.9834082557411109,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:08:43.224Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3589563788725121E7,4496574.821084889,1.0732722591148471,5.55,0.9828727550004801,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:08:59.088Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3589465580355195E7,4496523.392956157,1.073291687668751,5.55,0.9823452348968185,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:09:07.248Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3589463301364744E7,4496522.199518216,1.0732916873904528,5.55,0.9820738932398669,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:09:23.016Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3589365689771682E7,4496471.0826984625,1.0732916876608618,5.55,0.981549565390993,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:09:54.960Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3589191818456184E7,4496383.195242035,1.0557654133808,5.55,0.9804873426103976,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:11:54.960Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3588769867603814E7,4495856.552623536,-0.0012476912114578464,5.55,0.9767595870821018,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:12:11.088Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3588768121962115E7,4495743.667339465,-0.0012476912306669252,5.55,0.976224086341471,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:12:58.824Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3588769023831025E7,4495408.616063042,-0.019612068732700605,5.55,0.9746359395846076,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:14:42.744Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3588713179401184E7,4494786.044135221,0.20195131306764202,5.55,0.9714436847969425,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:15:14.904Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3588664481270079E7,4494566.023130593,0.2019513130874513,5.55,0.9703742794430747,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:15:30.720Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3588640532735819E7,4494457.820456627,0.20195131303660485,5.55,0.9698483554668069,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:15:46.800Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3588622166204996E7,4494346.739221077,0.11292834320574463,5.55,0.969313652789873,discharging
8919b741-eee9-4d96-8649-d5aa95c29a49,2017-01-01T00:15:54.744Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3588623560899608E7,4494292.310012116,-0.04248936568353967,5.55,0.9690494937061938,discharging
