Booking Time,User ID,Pick-up Time,Drop-off Time,Seat Count,Vehicle ID
2017-01-01T00:42:21.024Z,3108d14f-9d72-43f3-a7d4-a689a037e683,2017-01-01T01:02:41.424Z,2017-01-01T01:08:57.984Z,1,8919b741-eee9-4d96-8649-d5aa95c29a47
2017-01-01T00:34:53.328Z,5c2c8dd9-081c-4026-8c9f-39f01465b6cc,2017-01-01T00:43:16.608Z,2017-01-01T01:21:51.552Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:27:28.944Z,e39a4cc8-c6db-4aef-b67f-70d85c96d880,2017-01-01T00:52:25.824Z,2017-01-01T01:52:42.096Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T01:04:27.696Z,6e57bfc3-217f-403a-a770-de630b313a43,2017-01-01T01:21:54.432Z,2017-01-01T02:08:14.640Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T01:12:01.440Z,7dc4d847-d77d-492a-91bc-26404ac09b6a,2017-01-01T01:35:24.432Z,2017-01-01T02:13:38.064Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T01:14:32.640Z,0b2b37c2-ecab-44ee-9a1c-15bfa01f15ed,2017-01-01T01:44:51.792Z,2017-01-01T02:51:47.376Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T02:38:18.384Z,67dc1ff0-8a30-4a02-b67d-1f1c202d5c3c,2017-01-01T02:44:44.016Z,2017-01-01T02:58:45.696Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T01:09:30.384Z,32ab2730-342a-4863-a756-04f3ae9350de,2017-01-01T01:44:51.936Z,2017-01-01T02:58:45.840Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T01:56:25.584Z,2e936659-55bd-4798-9079-7d29903b24be,2017-01-01T02:14:27.024Z,2017-01-01T03:02:24.288Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T01:06:59.904Z,53df8fc2-5024-4be2-9ff9-9a9355a206a6,2017-01-01T01:16:03.216Z,2017-01-01T03:02:27.024Z,1,8919b741-eee9-4d96-8649-d5aa95c29a46
2017-01-01T03:00:37.440Z,071234ed-0ec0-48b8-9c71-55e5280d9dfa,2017-01-01T03:07:45.840Z,2017-01-01T03:15:58.896Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T02:30:45.072Z,096272c0-dff5-44fd-83b5-c158bc23a016,2017-01-01T02:39:45.648Z,2017-01-01T03:23:00.096Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T02:33:16.992Z,bc79074c-3335-4547-a913-cbf10e7f4107,2017-01-01T03:02:29.616Z,2017-01-01T03:36:28.944Z,1,8919b741-eee9-4d96-8649-d5aa95c29a46
2017-01-01T02:43:20.496Z,e5070d5a-e1a3-4c10-832f-15b7c0f09902,2017-01-01T02:49:40.656Z,2017-01-01T03:48:49.824Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T02:38:19.104Z,3343ed00-341b-403d-b3f9-01141a5c3b36,2017-01-01T02:54:15.120Z,2017-01-01T03:52:46.704Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T02:58:05.952Z,43aa52db-134f-4e7c-bf74-f9f6d873a82b,2017-01-01T03:07:51.168Z,2017-01-01T03:53:40.992Z,1,8919b741-eee9-4d96-8649-d5aa95c29a46
2017-01-01T03:57:09.072Z,f832cceb-2de3-4b95-8960-829c2c8a81ee,2017-01-01T04:14:30.048Z,2017-01-01T04:35:44.880Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T03:22:42.384Z,b5faeb24-c33a-4e7e-8bf0-b01701367b17,2017-01-01T03:32:50.928Z,2017-01-01T04:37:24.096Z,1,8919b741-eee9-4d96-8649-d5aa95c29a47
2017-01-01T01:19:35.040Z,4f14a130-0308-466a-9737-e6758aef5d13,2017-01-01T01:41:06.864Z,2017-01-01T04:37:24.240Z,1,8919b741-eee9-4d96-8649-d5aa95c29a47
2017-01-01T04:44:25.584Z,a88274ec-5a80-4f17-acc3-6a59c95407c1,2017-01-01T05:02:32.352Z,2017-01-01T05:07:26.688Z,1,8919b741-eee9-4d96-8649-d5aa95c29a46
2017-01-01T04:34:13.584Z,f408ef76-d2cf-4839-9b16-f29c0a932348,2017-01-01T04:56:17.376Z,2017-01-01T05:07:26.688Z,1,8919b741-eee9-4d96-8649-d5aa95c29a46
