time,demands,vehicles,totalEnergy,averageWaitingTime,maxWaitingTime,minWaitingTime,stabilityWaitingTime,averageJourneyTime,averageOccupancy,averageLoadFactor,maxLoadFactor,minLoadFactor,stabilityLoadFactor,completedBookingsPercentage
2017-01-01T13:00:00.000Z,27.0,6,0.444873425273,6,13,0,13,18,0.722222222222,0.0713347707675,0.309114098025,0.0,0.309114098025,0.296296296296
2017-01-01T13:00:00.000Z,27.0,5,0.453404726193,9,16,0,16,26,0.872427536232,0.0922685319379,0.187927455378,0.0,0.187927455378,0.296296296296
2017-01-01T13:00:00.000Z,27.0,7,0.705844244483,4,14,0,14,21,0.86626984127,0.0855858049307,0.237066577952,0.0,0.237066577952,0.518518518519
2017-01-01T13:00:00.000Z,27.0,8,0.588638215763,3,8,1,7,24,0.714861111111,0.0737934725507,0.205842199262,0.0,0.205842199262,0.333333333333
2017-01-01T13:00:00.000Z,23.0,7,0.630015424257,13,18,1,17,34,0.527777777778,0.0523897207703,0.1456103824,0.0,0.1456103824,0.391304347826
2017-01-01T13:00:00.000Z,23.0,6,0.358747189165,11,15,1,14,23,0.186904761905,0.0469809140185,0.106770711785,0.0,0.106770711785,0.217391304348
2017-01-01T13:00:00.000Z,23.0,5,0.391847679058,8,15,3,12,20,1.04431818182,0.0723366220951,0.138370673442,0.0,0.138370673442,0.304347826087
2017-01-01T13:00:00.000Z,23.0,4,0.335365518973,11,17,0,17,38,1.06632653061,0.101316441147,0.202900025878,0.032967032967,0.169932992911,0.391304347826
2017-01-01T13:00:00.000Z,23.0,3,0.198797666902,21,24,4,20,23,0.142361111111,0.0276040821478,0.0828122464434,0.0,0.0828122464434,0.0869565217391
2017-01-01T13:00:00.000Z,25.0,5,0.47504103108,7,18,0,18,18,1.39710992908,0.152102841202,0.283935997465,0.0234877009073,0.260448296558,0.56
2017-01-01T13:00:00.000Z,25.0,6,0.521763670216,5,12,0,12,17,1.53477777778,0.138085254341,0.394082441989,0.0,0.394082441989,0.56
2017-01-01T13:00:00.000Z,25.0,4,0.400046985481,6,13,1,12,17,1.39263888889,0.133513863412,0.207528936449,0.0142887221798,0.193240214269,0.52
2017-01-01T13:00:00.000Z,36.0,7,0.68569632839,7,14,0,14,14,1.03707290826,0.108360382659,0.327973447352,0.0,0.327973447352,0.5
2017-01-01T13:00:00.000Z,36.0,8,0.696529245012,6,10,0,10,30,0.976443768997,0.11357240342,0.424822125316,0.0,0.424822125316,0.5
2017-01-01T13:00:00.000Z,23.0,10,0.836654532518,3,9,1,8,17,0.447055555556,0.0467347235114,0.171435937942,0.0,0.171435937942,0.434782608696
2017-01-01T13:00:00.000Z,23.0,9,0.680706036094,11,14,0,14,38,0.138888888889,0.0126347264668,0.0448798877784,0.0,0.0448798877784,0.260869565217
2017-01-01T13:00:00.000Z,23.0,8,0.673493934465,3,6,0,6,18,0.597991071429,0.0644023846879,0.1860634224,0.0,0.1860634224,0.565217391304
2017-01-01T13:00:00.000Z,23.0,2,0.202520634048,11,26,4,22,16,1.37837837838,0.137313499833,0.151175885188,0.123451114479,0.0277247707083,0.347826086957
2017-01-01T13:00:00.000Z,15.0,10,0.814587605761,4,7,0,7,40,0.194277777778,0.0196818443754,0.0706889518769,0.0,0.0706889518769,0.4
2017-01-01T13:00:00.000Z,15.0,9,0.871878703161,3,15,0,15,16,0.245344143404,0.019246075073,0.074645687398,0.0,0.074645687398,0.466666666667
2017-01-01T13:00:00.000Z,15.0,8,0.629973126881,3,6,0,6,24,0.338179347826,0.0339917043714,0.109178964343,0.0,0.109178964343,0.4
2017-01-01T13:00:00.000Z,15.0,7,0.545111821733,6,12,0,12,31,0.282225913621,0.0295546770975,0.0793235800169,0.0,0.0793235800169,0.333333333333
2017-01-01T13:00:00.000Z,15.0,6,0.62515042796,7,12,0,12,17,0.232653061224,0.0239066049899,0.115837771822,0.0,0.115837771822,0.4
2017-01-01T13:00:00.000Z,15.0,5,0.429263299361,2,10,0,10,15,0.6146,0.0613022207715,0.110547235141,0.0,0.110547235141,0.666666666667
2017-01-01T13:00:00.000Z,15.0,4,0.40851124905,3,10,0,10,14,0.777717391304,0.0783993617679,0.135649759101,0.0470229967103,0.0886267623903,0.666666666667
2017-01-01T13:00:00.000Z,15.0,3,0.232336293765,12,15,0,15,38,0.806382978723,0.0819792276024,0.149602317984,0.0,0.149602317984,0.333333333333
2017-01-01T13:00:00.000Z,15.0,2,0.181231486869,5,10,0,10,14,0.756,0.104239304436,0.119396157365,0.0890824515065,0.0303137058585,0.4
2017-01-01T13:00:00.000Z,25.0,10,0.934433629191,3,9,0,9,19,0.611597222222,0.0750975962278,0.260654900501,0.0,0.260654900501,0.64
2017-01-01T13:00:00.000Z,25.0,9,0.7146987612,4,12,1,11,19,0.615200842242,0.0552479956783,0.230587799577,0.0,0.230587799577,0.44
2017-01-01T13:00:00.000Z,25.0,4,0.400046985481,6,13,1,12,17,1.39263888889,0.133513863412,0.207528936449,0.0142887221798,0.193240214269,0.52
2017-01-01T13:00:00.000Z,25.0,7,0.429725093161,4,8,0,8,13,0.621143353175,0.0574318361608,0.158164704528,0.0,0.158164704528,0.56
2017-01-01T13:00:00.000Z,25.0,3,0.271393531092,4,12,0,12,16,2.16485042735,0.19831627253,0.34319684942,0.062691955616,0.280504893804,0.44
2017-01-01T13:00:00.000Z,25.0,2,0.163504097969,13,30,0,30,14,1.26078431373,0.124200693132,0.208875251405,0.0395261348579,0.169349116547,0.36
2017-01-01T13:00:00.000Z,27.0,2,0.140554180237,28,30,0,30,56,1.29471544715,0.12044868791,0.24089737582,0.0,0.24089737582,0.111111111111
2017-01-01T13:00:00.000Z,27.0,9,0.730653650629,5,17,0,17,29,0.619924603175,0.0589290601889,0.208386331675,0.0,0.208386331675,0.407407407407
2017-01-01T13:00:00.000Z,27.0,10,0.753439167239,2,7,0,7,22,0.55193236715,0.0625181344713,0.174934354957,0.0,0.174934354957,0.37037037037
