type,totalEnergy,averageWaitingTime,maxWaitingTime,minWaitingTime,stabilityWaitingTime,averageJourneyTime,averageOccupancy,averageLoadFactor,maxLoadFactor,minLoadFactor,stabilityLoadFactor,completedBookingsPercentage,completedBookingsLess6,less6onCompleted
8v_hw_const_0.1,18.0281757664,15,167,0,167,40,2.3435754395,0.240447959879,0.607729855889,0.114882516313,0.492847339576,0.695205479452,0.27,0.39
8v_hw_10max_autonomy8h,16.6181036453,10,127,0,127,38,2.43885492408,0.253921777292,0.288010540511,0.210938235764,0.0770723047469,0.833904109589,0.39,0.47
optionalStops,25.9238988206,5,57,0,57,46,2.87194120329,0.290054058034,0.39976784518,0.150027739,0.24974010618,0.806506849315,0.5,0.625
