type,totalEnergy,averageWaitingTime,maxWaitingTime,minWaitingTime,stabilityWaitingTime,averageJourneyTime,averageOccupancy,averageLoadFactor,maxLoadFactor,minLoadFactor,stabilityLoadFactor,completedBookingsPercentage
adaptVehicles,14.821164675,8,35,0,35,55,3.08614257433,0.30317129048,0.382274839605,0.20223627429,0.180038565316,0.78595890411
8v_hw_max_1min,15.5256780035,12,158,0,158,38,2.41880474398,0.268877820314,0.369363631077,0.168228341694,0.201135289384,0.830479452055
8v_hw_const_0.1,18.0281757664,15,167,0,167,40,2.3435754395,0.240447959879,0.607729855889,0.114882516313,0.492847339576,0.695205479452
8v_hw_max_10,15.023030353,11,119,0,119,42,2.84103266661,0.272718195578,0.401359996804,0.216611416757,0.184748580047,0.897260273973
8v_hw_max_10_manyCharging,14.2504619069,8,59,0,59,43,2.96810857222,0.308826481962,0.509177300159,0.0827447227599,0.426432577399,0.808219178082
optionalStops,15.9645845461,7,96,0,96,32,2.19316229794,0.232887244933,0.276786104983,0.183870312947,0.092915792036,0.840753424658
optionalStops,3.22337501551,3,16,0,16,31,1.353652604,0.148622632488,0.189135649699,0.0823524618967,0.106783187803,0.186643835616
optionalStops,3.22337501551,3,16,0,16,31,1.353652604,0.148622632488,0.189135649699,0.0823524618967,0.106783187803,0.186643835616
