type,totalEnergy,averageWaitingTime,maxWaitingTime,minWaitingTime,stabilityWaitingTime,averageJourneyTime,averageOccupancy,averageLoadFactor,maxLoadFactor,minLoadFactor,stabilityLoadFactor,completedBookingsPercentage,completedBookingsLess6,less6onCompleted
8v_hw_10max_autonomy8h,16.6181036453,10,127,0,127,38,2.43885492408,0.253921777292,0.288010540511,0.210938235764,0.0770723047469,0.833904109589,0.39,0.47
adaptVehicles,14.821164675,8,35,0,35,55,3.08614257433,0.30317129048,0.382274839605,0.20223627429,0.180038565316,0.78595890411,0.38,0.48
adaptVehicles2,16.5791931776,7,96,0,96,37,4.19908420811,0.453449003225,0.567188744012,0.356916105011,0.210272639001,0.828767123288,0.41,0.49
