Booking Time,User ID,Pick-up Time,Drop-off Time,Seat Count,Vehicle ID
2017-01-01T00:06:10.440Z,71dc77eb-06eb-426d-a5d3-75e2e8111ff5,2017-01-01T00:06:22.824Z,2017-01-01T00:17:17.088Z,2,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:09:27.264Z,b9eb96c8-cee7-4aeb-84ef-371bd4d5a4c4,2017-01-01T00:22:12.792Z,2017-01-01T00:27:02.904Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:12:20.208Z,a7801952-bf9a-41eb-b769-7495b2f5d762,2017-01-01T00:13:10.800Z,2017-01-01T00:33:36.432Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:18:05.040Z,6f1a5124-7d8e-4438-9c4e-9f3a9bfd770f,2017-01-01T00:26:06.048Z,2017-01-01T00:37:15.624Z,1,8919b741-eee9-4d96-8649-d5aa95c29a46
2017-01-01T00:30:24.408Z,74f4ebce-a921-47db-9776-6ee4a368efd0,2017-01-01T00:38:53.952Z,2017-01-01T00:42:10.392Z,1,8919b741-eee9-4d96-8649-d5aa95c29a46
2017-01-01T00:24:15.072Z,2360c7a3-796a-45d7-8ec2-70a4e2150a58,2017-01-01T00:34:38.040Z,2017-01-01T00:42:10.368Z,1,8919b741-eee9-4d96-8649-d5aa95c29a46
2017-01-01T00:30:24.360Z,e260dee6-39f1-42e2-9298-be2cb93dde25,2017-01-01T00:42:11.136Z,2017-01-01T00:45:40.464Z,1,8919b741-eee9-4d96-8649-d5aa95c29a46
2017-01-01T00:24:15.120Z,39b50cd1-8536-4940-b23f-c17ac7c7c28c,2017-01-01T00:35:41.184Z,2017-01-01T00:45:40.464Z,2,8919b741-eee9-4d96-8649-d5aa95c29a46
2017-01-01T00:12:20.064Z,5b1e11d1-b70f-4320-9517-f5c37d2a3fc1,2017-01-01T00:16:48.240Z,2017-01-01T00:46:54.384Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:30:24.312Z,32206427-1e44-41b7-b020-b1288d94c79e,2017-01-01T00:31:17.424Z,2017-01-01T00:46:54.408Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:24:15.144Z,b2f42384-a256-4d48-bf13-41464f4470c6,2017-01-01T00:34:54.552Z,2017-01-01T00:47:02.784Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:39:51.336Z,60f72d21-2a3c-4a84-8b17-d927b125fbbd,2017-01-01T00:43:21.720Z,2017-01-01T00:47:14.832Z,1,8919b741-eee9-4d96-8649-d5aa95c29a48
