Vehicle ID,TimeStamp,Site ID,Location Latitude,Location Longitude,Orientation,Speed,Battery Level,Battery State
4bf166af-9eeb-432a-bad5-4b93b827ac56,2017-01-01T00:17:25.128Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.358775096327739E7,4494142.035588874,2.827942374678569,5.55,0.9663089429709835,discharging
4bf166af-9eeb-432a-bad5-4b93b827ac56,2017-01-01T00:17:40.992Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.358772650680105E7,4494222.292717822,2.827942374630569,5.55,0.9657814228673218,discharging
4bf166af-9eeb-432a-bad5-4b93b827ac56,2017-01-01T00:18:04.968Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3587678016671889E7,4494383.309213427,2.8379049684061255,5.55,0.9649841572341025,discharging
4bf166af-9eeb-432a-bad5-4b93b827ac56,2017-01-01T00:18:12.888Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3587662538536632E7,4494436.660971965,2.8414208423830365,5.55,0.9647207962141201,discharging
4bf166af-9eeb-432a-bad5-4b93b827ac56,2017-01-01T00:18:36.912Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3587615587898351E7,4494598.493835643,2.841420842386459,5.55,0.9639219344535069,discharging
4bf166af-9eeb-432a-bad5-4b93b827ac56,2017-01-01T00:20:28.728Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3587408146426313E7,4495313.485381128,2.841420842386553,5.55,0.9602037556895741,discharging
4bf166af-9eeb-432a-bad5-4b93b827ac56,2017-01-01T00:22:12.648Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3587066632656293E7,4495658.183434094,1.116617618512382,5.55,0.9567481398819266,discharging
4bf166af-9eeb-432a-bad5-4b93b827ac56,2017-01-01T00:22:52.704Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3586816830748988E7,4495540.826331677,1.1166384245637795,5.55,0.9554161715717734,discharging
4bf166af-9eeb-432a-bad5-4b93b827ac56,2017-01-01T00:26:28.536Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3587127332657812E7,4494476.304554496,4.40364265586064,5.55,0.9485113244660539,discharging
4bf166af-9eeb-432a-bad5-4b93b827ac56,2017-01-01T00:28:12.408Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3587785995985428E7,4494675.205184735,4.403642655942573,5.55,0.9450573047858003,discharging
4bf166af-9eeb-432a-bad5-4b93b827ac56,2017-01-01T00:29:40.272Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3588332707804564E7,4494835.826626283,4.480141401137363,5.55,0.9421355935913899,discharging
4bf166af-9eeb-432a-bad5-4b93b827ac56,2017-01-01T00:29:48.168Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3588378152404051E7,4494843.585433153,4.527254688132276,5.55,0.9418730306351044,discharging
4bf166af-9eeb-432a-bad5-4b93b827ac56,2017-01-01T00:30:04.272Z,12c0b08d-6df8-4279-8f05-5475c53b601d,-1.3588490028705634E7,4494840.884451133,-1.5635045473236922,5.55,0.9413375298944736,discharging
